"StatId";"StatName";"Zone";"PhaseNum";"PlayerId";"GameSeconds";"nX";"Y";"nY";"TeamId";"GameId"
10593;"Start of Period 1";"CC";0;NA;1;497;344;356;1125;20198501010
81;"Start Half-Lost";"CC";0;NA;2;497;344;356;1125;20198501010
10518;"Start Half Long - Own Lost";"CC";0;NA;2;497;344;356;1125;20198501010
10602;"Start Half - Long";"CC";0;NA;2;497;344;356;1125;20198501010
10608;"Start Half - Right";"CC";0;NA;2;497;344;356;1125;20198501010
16;"Ball Carry";"GR";0;21311;7;805;42;658;1125;20198501010
17;"Ball Carry (OCCUR)";"GR";0;21311;7;805;42;658;1125;20198501010
10007;"Receipts";"GR";0;21311;7;805;42;658;1125;20198501010
10008;"Ball Runs into Contact";"GR";0;21311;7;805;42;658;1125;20198501010
84;"2-Good";"GR";0;21311;45;951;4;696;1125;20198501010
10680;"Lineout Throw - Slow";"GR";0;NA;45;951;4;696;1125;20198501010
19;"Lineout-Won";"GR";0;NA;46;951;4;696;1125;20198501010
10050;"Lineouts - Own - Full - Effective";"GR";0;NA;46;951;4;696;1125;20198501010
10558;"Lineout Launch Outcome - Pen Won";"GR";0;NA;46;951;4;696;1125;20198501010
10676;"Lineout Outcome - Drive";"GR";0;NA;46;951;4;696;1125;20198501010
10679;"Lineout - Front";"GR";0;NA;46;951;4;696;1125;20198501010
10682;"Lineout - Full";"GR";0;NA;46;951;4;696;1125;20198501010
10027;"Lineout Lifting";"GR";0;47205;46;951;4;696;1125;20198501010
10027;"Lineout Lifting";"GR";0;35996;46;951;4;696;1125;20198501010
18;"Own Lineout";"GR";0;38156;46;949;68;632;1125;20198501010
10007;"Receipts";"GR";0;38156;46;949;68;632;1125;20198501010
59;"Maul-Won";"GR";0;NA;47;953;68;632;1125;20198501010
10011;"Team Gainline Static";"GR";0;NA;47;953;68;632;1125;20198501010
10618;"Maul Arrivals - Defence - 6 Players";"GR";0;38156;47;953;68;632;1125;20198501010
10626;"Maul Arrivals - Attack - 9 Players";"GR";0;38156;47;953;68;632;1125;20198501010
10007;"Receipts";"GR";0;340;47;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;35996;48;953;68;632;1125;20198501010
10433;"Own Breakdown Arrival - 1st 3 - Own Team";"GR";0;35996;48;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;35996;48;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;340;48;953;68;632;1125;20198501010
10433;"Own Breakdown Arrival - 1st 3 - Own Team";"GR";0;340;48;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;340;48;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;36393;48;953;68;632;1125;20198501010
10433;"Own Breakdown Arrival - 1st 3 - Own Team";"GR";0;36393;48;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;36393;48;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;38157;48;953;68;632;1125;20198501010
10434;"Own Breakdown Arrival - Other - Own Team";"GR";0;38157;48;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;38157;48;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;43245;49;953;68;632;1125;20198501010
10434;"Own Breakdown Arrival - Other - Own Team";"GR";0;43245;49;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;43245;49;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;21311;49;953;68;632;1125;20198501010
10434;"Own Breakdown Arrival - Other - Own Team";"GR";0;21311;49;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;21311;49;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;7785;51;953;68;632;1125;20198501010
10434;"Own Breakdown Arrival - Other - Own Team";"GR";0;7785;51;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;7785;51;953;68;632;1125;20198501010
10013;"Attacking Breakdown - arrivals";"GR";0;36388;52;953;68;632;1125;20198501010
10434;"Own Breakdown Arrival - Other - Own Team";"GR";0;36388;52;953;68;632;1125;20198501010
10437;"Own Breakdown Arrival - Other - Both Teams";"GR";0;36388;52;953;68;632;1125;20198501010
10007;"Receipts";"GR";0;21311;52;953;68;632;1125;20198501010
10007;"Receipts";"GR";0;41107;60;943;53;647;1125;20198501010
15;"Other Passes";"GR";0;41107;61;925;79;621;1125;20198501010
16;"Ball Carry";"GR";0;21842;62;914;169;531;1125;20198501010
17;"Ball Carry (OCCUR)";"GR";0;21842;62;914;169;531;1125;20198501010
10007;"Receipts";"GR";0;21842;62;914;169;531;1125;20198501010
10008;"Ball Runs into Contact";"GR";0;21842;62;914;169;531;1125;20198501010
10500;"Ball Carries - Into Contact - Effective";"GR";0;21842;62;943;160;540;1125;20198501010
57;"Ruck-Won";"GR";1;NA;64;956;156;544;1125;20198501010
10011;"Team Gainline Static";"GR";1;NA;64;956;156;544;1125;20198501010
10084;"Own Ruck Speed 6+";"GR";1;NA;64;956;156;544;1125;20198501010
10429;"Opp Ruck Speed 6+";"GR";1;NA;64;956;156;544;1125;20198501010
10504;"Ruck Sets";"GR";1;21842;64;956;156;544;1125;20198501010
